Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v2
strin_x    strain_y    strain_z    v2
-0.098   -0.1   0.066  0.92359835
-0.098   -0.1   0.067  0.92359835
-0.098   -0.1   0.068  0.92359835
-0.098   -0.1   0.069  0.92359835
-0.098   -0.1   0.07  0.92359835
-0.098   -0.1   0.071  0.92359835
-0.098   -0.1   0.072  0.92359835
-0.098   -0.1   0.073  0.92359835
-0.098   -0.1   0.074  0.92359835
-0.098   -0.1   0.075  0.92359835
-0.098   -0.1   0.076  0.92359835
-0.098   -0.1   0.077  0.92359835
-0.098   -0.1   0.078  0.92359835
-0.098   -0.1   0.079  0.92359835
-0.098   -0.1   0.08  0.92359835
-0.098   -0.1   0.081  0.92359835
-0.098   -0.1   0.082  0.92359835
-0.098   -0.1   0.083  0.92359835
-0.098   -0.1   0.084  0.92359835
-0.098   -0.1   0.085  0.92359835
-0.098   -0.1   0.086  0.92359835
-0.098   -0.1   0.087  0.92359835
-0.098   -0.1   0.088  0.92359835
-0.098   -0.1   0.089  0.92359835
-0.098   -0.1   0.09  0.92359835
-0.098   -0.1   0.091  0.92359835
-0.098   -0.1   0.092  0.92359835
-0.098   -0.1   0.093  0.92359835
-0.098   -0.1   0.094  0.92359835
-0.098   -0.1   0.095  0.92359835
-0.098   -0.1   0.096  0.92359835
-0.098   -0.1   0.097  0.92359835
-0.098   -0.1   0.098  0.92359835
-0.098   -0.1   0.099  0.92359835
-0.097   -0.1   -0.1  0.9185476
-0.097   -0.1   -0.099  0.9185476
-0.097   -0.1   -0.098  0.9185476
-0.097   -0.1   -0.097  0.9185476
-0.097   -0.1   -0.096  0.9185476
-0.097   -0.1   -0.095  0.9185476
-0.097   -0.1   -0.094  0.9185476
-0.097   -0.1   -0.093  0.9185476
-0.097   -0.1   -0.092  0.9185476
-0.097   -0.1   -0.091  0.9185476
-0.097   -0.1   -0.09  0.9185476
-0.097   -0.1   -0.089  0.9185476
-0.097   -0.1   -0.088  0.9185476
-0.097   -0.1   -0.087  0.9185476
-0.097   -0.1   -0.086  0.9185476
-0.097   -0.1   -0.085  0.9185476
-0.097   -0.1   -0.084  0.9185476
-0.097   -0.1   -0.083  0.9185476
-0.097   -0.1   -0.082  0.9185476
-0.097   -0.1   -0.081  0.9185476
-0.097   -0.1   -0.08  0.9185476
-0.097   -0.1   -0.079  0.9185476
-0.097   -0.1   -0.078  0.9185476
-0.097   -0.1   -0.077  0.9185476
-0.097   -0.1   -0.076  0.9185476
-0.097   -0.1   -0.075  0.9185476
-0.097   -0.1   -0.074  0.9185476
-0.097   -0.1   -0.073  0.9185476
-0.097   -0.1   -0.072  0.9185476
-0.097   -0.1   -0.071  0.9185476
-0.097   -0.1   -0.07  0.9185476
-0.097   -0.1   -0.069  0.9185476
-0.097   -0.1   -0.068  0.9185476
-0.097   -0.1   -0.067  0.9185476
-0.097   -0.1   -0.066  0.9185476
-0.097   -0.1   -0.065  0.9185476
-0.097   -0.1   -0.064  0.9185476
-0.097   -0.1   -0.063  0.9185476
-0.097   -0.1   -0.062  0.9185476
-0.097   -0.1   -0.061  0.9185476
-0.097   -0.1   -0.06  0.9185476
-0.097   -0.1   -0.059  0.9185476
-0.097   -0.1   -0.058  0.9185476
-0.097   -0.1   -0.057  0.9185476
-0.097   -0.1   -0.056  0.9185476
-0.097   -0.1   -0.055  0.9185476
-0.097   -0.1   -0.054  0.9185476
-0.097   -0.1   -0.053  0.9185476
-0.097   -0.1   -0.052  0.9185476
-0.097   -0.1   -0.051  0.9185476
-0.097   -0.1   -0.05  0.9185476
-0.097   -0.1   -0.049  0.9185476
-0.097   -0.1   -0.048  0.9185476
-0.097   -0.1   -0.047  0.9185476
-0.097   -0.1   -0.046  0.9185476
-0.097   -0.1   -0.045  0.9185476
-0.097   -0.1   -0.044  0.9185476
-0.097   -0.1   -0.043  0.9185476
-0.097   -0.1   -0.042  0.9185476
-0.097   -0.1   -0.041  0.9185476
-0.097   -0.1   -0.04  0.9185476
-0.097   -0.1   -0.039  0.9185476
-0.097   -0.1   -0.038  0.9185476
-0.097   -0.1   -0.037  0.9185476
-0.097   -0.1   -0.036  0.9185476
-0.097   -0.1   -0.035  0.9185476
-0.097   -0.1   -0.034  0.9185476
-0.097   -0.1   -0.033  0.9185476
-0.097   -0.1   -0.032  0.9185476
-0.097   -0.1   -0.031  0.9185476
-0.097   -0.1   -0.03  0.9185476
-0.097   -0.1   -0.029  0.9185476
-0.097   -0.1   -0.028  0.9185476
